time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-25 00:00:00+00:00,881,111,135,29
2026-05-26 00:00:00+00:00,867,56,128,20
2026-05-27 00:00:00+00:00,288,49,137,33
2026-05-28 00:00:00+00:00,174,42,185,26
2026-05-29 00:00:00+00:00,934,57,83,20
2026-05-30 00:00:00+00:00,82,67,72,15
2026-05-31 00:00:00+00:00,246,89,23,8
2026-06-01 00:00:00+00:00,85,36,30,19
2026-06-02 00:00:00+00:00,175,51,68,21
2026-06-03 00:00:00+00:00,47,35,75,22
2026-06-04 00:00:00+00:00,306,51,89,26
2026-06-05 00:00:00+00:00,333,51,161,22
2026-06-06 00:00:00+00:00,100,37,52,16
2026-06-07 00:00:00+00:00,103,60,219,82
