time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-01 00:00:00+00:00,864,413,200,34
2026-03-02 00:00:00+00:00,2520,1478,569,51
2026-03-03 00:00:00+00:00,2629,813,627,52
2026-03-04 00:00:00+00:00,3260,831,803,43
2026-03-05 00:00:00+00:00,2903,517,799,65
2026-03-06 00:00:00+00:00,2278,931,423,44
2026-03-07 00:00:00+00:00,815,338,65,26
2026-03-08 00:00:00+00:00,882,524,133,23
2026-03-09 00:00:00+00:00,1996,1152,247,30
2026-03-10 00:00:00+00:00,1937,1196,213,40
2026-03-11 00:00:00+00:00,3175,1480,494,33
2026-03-12 00:00:00+00:00,1211,560,174,32
2026-03-13 00:00:00+00:00,1353,844,176,36
2026-03-14 00:00:00+00:00,1099,320,101,19
