time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-10 00:00:00+00:00,2423,1059,553,42
2026-04-11 00:00:00+00:00,629,143,99,24
2026-04-12 00:00:00+00:00,98,68,45,22
2026-04-13 00:00:00+00:00,1157,241,308,48
2026-04-14 00:00:00+00:00,1912,148,248,36
2026-04-15 00:00:00+00:00,1445,150,340,41
2026-04-16 00:00:00+00:00,1534,184,728,51
2026-04-17 00:00:00+00:00,432,133,196,33
2026-04-18 00:00:00+00:00,75,63,27,14
2026-04-19 00:00:00+00:00,218,184,50,21
2026-04-20 00:00:00+00:00,1135,179,226,30
2026-04-21 00:00:00+00:00,1202,116,264,40
2026-04-22 00:00:00+00:00,1601,172,353,38
2026-04-23 00:00:00+00:00,2897,284,305,37
