time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-31 00:00:00+00:00,246,89,23,8
2026-06-01 00:00:00+00:00,85,36,30,19
2026-06-02 00:00:00+00:00,175,51,68,21
2026-06-03 00:00:00+00:00,47,35,75,22
2026-06-04 00:00:00+00:00,306,51,89,26
2026-06-05 00:00:00+00:00,333,51,161,22
2026-06-06 00:00:00+00:00,100,37,52,16
2026-06-07 00:00:00+00:00,103,60,219,82
2026-06-08 00:00:00+00:00,210,34,57,19
2026-06-09 00:00:00+00:00,16,14,71,21
2026-06-10 00:00:00+00:00,44,29,79,27
2026-06-11 00:00:00+00:00,902,77,97,22
2026-06-12 00:00:00+00:00,32,25,95,29
2026-06-13 00:00:00+00:00,47,30,20,15
