time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-09 00:00:00+00:00,395,68,190,24
2025-12-10 00:00:00+00:00,582,279,245,24
2025-12-11 00:00:00+00:00,769,134,293,28
2025-12-12 00:00:00+00:00,890,271,236,28
2025-12-13 00:00:00+00:00,67,64,4,4
2025-12-14 00:00:00+00:00,91,71,29,11
2025-12-15 00:00:00+00:00,146,80,138,33
2025-12-16 00:00:00+00:00,73,36,151,22
2025-12-17 00:00:00+00:00,122,63,182,32
2025-12-18 00:00:00+00:00,360,313,120,21
2025-12-19 00:00:00+00:00,303,110,146,24
2025-12-20 00:00:00+00:00,51,30,20,7
2025-12-21 00:00:00+00:00,78,75,14,5
2025-12-22 00:00:00+00:00,300,151,330,38
