time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-27 00:00:00+00:00,42,38,137,17
2025-12-28 00:00:00+00:00,99,95,84,11
2025-12-29 00:00:00+00:00,143,53,172,26
2025-12-30 00:00:00+00:00,63,57,117,22
2025-12-31 00:00:00+00:00,44,32,121,23
2026-01-01 00:00:00+00:00,27,21,282,151
2026-01-02 00:00:00+00:00,69,68,110,42
2026-01-03 00:00:00+00:00,49,46,126,28
2026-01-04 00:00:00+00:00,129,124,82,29
2026-01-05 00:00:00+00:00,129,92,93,24
2026-01-06 00:00:00+00:00,80,79,109,27
2026-01-07 00:00:00+00:00,413,125,570,41
2026-01-08 00:00:00+00:00,1106,198,381,33
2026-01-09 00:00:00+00:00,685,128,443,56
