url_path,views_total,views_unique
/riscv/riscv-unified-db,200,133
/riscv/riscv-unified-db/issues,44,29
/riscv/riscv-unified-db/pulls,39,20
/riscv/riscv-unified-db/tree/main/spec,31,20
/riscv/riscv-unified-db/tree/main/spec/std/isa,26,16
/riscv/riscv-unified-db/tree/main/spec/std,23,14
/riscv/riscv-unified-db/tree/main/spec/std/isa/inst,22,13
/riscv/riscv-unified-db/tree/main/backends/cpp_hart_gen,19,5
/riscv/riscv-unified-db/blob/main/spec/std/isa/ext/Zve32x.yaml,17,3
/riscv/riscv-unified-db/pull/1833,16,2
